gene;protein
ABCA1;O95477
ABCC1;P33527
ADAMTS13;Q76LX8
ADRB1;P08588
ADRBK1;P25098
AGO2;Q9UKV8
AHNAK;Q09666
AIRE;O43918
ALB;P02768
AMH;P03971
ANXA1;P04083
ANXA11;P50995
ANXA2;P07355
ANXA6;P08133
APEX1;P27695
APOA1;P02647
APOB;P04114
APOH;P02749
AQP4;P55087
B2M;P61769
BCR;P11274
BRAF;P15056
BRCA2;P51587
C1QA;P02745
CA2;P00918
CA3;P07451
CALD1;Q05682
CALR;P27797
CANX;P27824
CASP8;Q14790
CAST;P20810
CAT;P04040
CCDC88A;Q3V6T2
CCL3;P10147
CCL5;P13501
CCNA2;P20248
CCR5;P51681
CD3D;P04234
CD3EAP;O15446
CD46;P15529
CD55;P08174
CD59;P13987
CD8A;P01732
CD9;P21926
CDR1;P51861
CDR2;Q01850
CDT1;Q9H211
CENPB;P07199
CENPF;P49454
CENPP;Q6IPU0
CFH;P08603
CH25H;O95992
CHI3L2;Q15782
COIL;P38432
CR1;P17927
CRP;P02741
CSF2;P04141
CSF3;P09919
CTLA4;P16410
DEK;P35659
DLAT;P10515
DNASE1;P24855
DPP4;P27487
DSG3;P32926
DST;Q03001
EDNRA;P25101
EEA1;Q15075
EEF1A1;P68104
EFEMP2;O95967
EGF;P01133
EIF4G1;Q04637
ENO1;P06733
EPO;P01588
EPX;P11678
ESR1;P03372
EVPL;Q92817
EXOSC10;Q01780
EXOSC3;Q9NQT5
EXOSC9;Q06265
FABP4;P15090
FASLG;P48023
FASN;P49327
FCGR3B;O75015
FCN3;O75636
FCRLA;Q7L513
FKBP1A;P62942
FLRT2;O43155
FN1;P02751
GAL;P22466
GDF10;P55107
GFRA1;P56159
GH1;P01241
GPI;P06744
GRIA2;P42262
GRIA3;P42263
GRIN1;Q05586
GRIN2A;Q12879
GRIN2B;Q13224
GRP;P07492
GSTO1;P78417
GTF2F1;P35269
H1F0;P07305
HAVCR1;Q96D42
HDAC3;O15379
HLA-G;P17693
HMGB1;P09429
HMGN2;P05204
HNF4G;Q14541
HNRNPA1;P09651
HNRNPA2B1;P22626
HNRNPAB;Q99729
HNRNPD;Q14103
HSP90AB1;P08238
HSP90B1;P14625
HSPA5;P11021
HSPB1;P04792
HSPD1;P10809
IFI16;Q16666
IFIH1;Q9BYX4
IFNA2;P01563
IFNB1;P01574
IFNG;P01579
IL10;P22301
IL17A;Q16552
IL18;Q14116
IL1B;P01584
IL1R1;P14778
IL2;P60568
IL22;Q9GZX6
IL4;P05112
IL6;P05231
INS;P01308
INSR;P06213
IRF3;Q14653
IRF5;Q13568
ITGA2;P17301
ITGA2B;P08514
ITGAL;P20701
KLHL12;Q53G59
KLHL7;Q8IXQ5
KLRC1;P26715
KLRC2;P26717
KLRD1;Q13241
LAMC1;P11047
LCP1;P13796
LDLR;P01130
LGALS1;P09382
LGALS2;P05162
LGALS3;P17931
LMNA;P02545
LMNB1;P20700
LPA;P08519
LSM4;Q9Y4Z0
LTF;P02788
MAGEB2;O15479
MAP2;P11137
MBL2;P11226
MCHR1;Q99705
MDM2;Q00987
METAP2;P50579
MKI67;P46013
MMP1;P03956
MMP9;P14780
MMRN1;Q13201
MORF4L1;Q9UBU8
MPL;P40238
MPO;P05164
MTCH1;Q9NZJ7
MYOM2;P54296
NGF;P01138
NIN;Q8N4C6
NPM1;P06748
NPPA;P01160
NUCB1;Q02818
NUMA1;Q14980
PARP1;P09874
PCNA;P12004
PDGFRA;P16234
PDGFRB;P09619
PF4;P02776
PFN2;P35080
PGK1;P00558
PGM3;O95394
PHGDH;O43175
PITX3;O75364
PLA2G1B;P04054
PML;P29590
PMS1;P54277
PNP;P00491
POU4F1;Q01851
POU4F2;Q12837
PPIA;P62937
PRL;P01236
PRTN3;P24158
PRX;Q9BXM0
PSIP1;O75475
PTMA;P06454
PTPN22;Q9Y2R2
PTPRC;None
RABAC1;Q9UI14
RACK1;P63244
RBMX;P38159
REG1A;P05451
RPL6;Q02878
RPLP0;P05388
RPLP1;P05386
RPLP2;P05387
RPS13;P62277
RPS20;P60866
SAG;P10523
SCARB1;Q8WTV0
SCARB2;Q14108
SDC2;P34741
SEC14L3;Q9UDX4
SEPSECS;Q9HD40
SEPT2;Q15019
SERPINB1;P30740
SERPINE1;P05121
SERPINE2;P07093
SERPING1;P05155
SLA;Q13239
SNRNP70;P08621
SNRPA;P09012
SNRPB;P14678
SNRPC;P09234
SNRPD1;P62314
SNRPG;P62308
SNRPN;P63162
SPN;P16150
SPP1;P10451
SQSTM1;Q13501
SSB;P05455
SUGP1;Q8IWZ8
SUMO1;P63165
TARS;P26639
TBP;P20226
TF;P02787
TG;P01266
TGFB1;P01137
THPO;P40225
TIA1;P31483
TMC2;Q8TDI7
TMEM11;P17152
TNF;P01375
TOP1;P11387
TP53;P04637
TP63;Q9H3D4
TPI1;P60174
TPO;P07202
TRIM21;P19474
TRIM24;O15164
TRIM33;Q9UPN9
TRIM68;Q6AZZ1
TROVE2;P10155
TSGA10;Q9BZW7
TYR;P14679
USP4;Q13107
VIM;P08670
VWF;P04275
YBX1;P67809